Dataset,Architecture,Depth,Final_Bal_Acc,Param_Time_Ratio,Acc_Param_Efficiency
Breast_cancer,Classical,2,0.9697,446.7062,0.0005
Breast_cancer,Classical,4,0.9556,1999.119,0.0001
Breast_cancer,Classical,6,0.9627,2761.3486,0.0001
Breast_cancer,Genetic,1,0.9884,236.6531,0.0008
Breast_cancer,Genetic,2,0.9813,360.4633,0.0004
Breast_cancer,Genetic,3,0.9813,447.386,0.0003
Covtype,Classical,2,0.8309,75.3245,0.0002
Covtype,Classical,4,0.8565,188.9452,0.0001
Covtype,Classical,6,0.8623,235.1073,0.0
Covtype,Genetic,1,0.7196,31.361,0.0003
Covtype,Genetic,2,0.7505,43.3165,0.0002
Covtype,Genetic,3,0.7985,52.5917,0.0001
Digits,Classical,2,0.9753,437.9833,0.0002
Digits,Classical,4,0.9837,1014.9337,0.0001
Digits,Classical,6,0.9734,1235.7891,0.0
Digits,Genetic,1,0.8252,180.6899,0.0003
Digits,Genetic,2,0.9254,263.6936,0.0002
Digits,Genetic,3,0.9549,321.9005,0.0001
Iris,Classical,2,1.0,227.4505,0.0019
Iris,Classical,4,1.0,3609.75,0.0001
Iris,Classical,6,1.0,6410.3977,0.0001
Iris,Genetic,1,0.9697,185.3322,0.0022
Iris,Genetic,2,1.0,317.4142,0.0011
Iris,Genetic,3,1.0,409.8004,0.0007
Olivetti,Classical,2,0.9884,75190.9062,0.0
Olivetti,Classical,4,0.9861,65540.4318,0.0
Olivetti,Classical,6,0.9815,56764.0366,0.0
Olivetti,Genetic,1,0.3009,31677.4242,0.0
Olivetti,Genetic,2,0.6759,44936.2598,0.0
Olivetti,Genetic,3,0.7685,56785.3807,0.0
Synthetic,Classical,2,0.6138,389.6401,0.0002
Synthetic,Classical,4,0.6394,1084.43,0.0001
Synthetic,Classical,6,0.6348,1375.843,0.0
Synthetic,Genetic,1,0.3759,172.5699,0.0002
Synthetic,Genetic,2,0.4161,242.6729,0.0001
Synthetic,Genetic,3,0.3741,300.9946,0.0001
Wine,Classical,2,1.0,438.3698,0.0009
Wine,Classical,4,1.0,3463.3772,0.0001
Wine,Classical,6,1.0,5670.5991,0.0001
Wine,Genetic,1,1.0,245.5236,0.0014
Wine,Genetic,2,1.0,441.3511,0.0007
Wine,Genetic,3,1.0,569.0253,0.0004
