Dataset,Architecture,Network_Type,Parameter,Final_Bal_Acc,Best_Bal_Acc,Epochs_Trained,Num_Params,Training_Time,Param_Time_Ratio,Bal_Acc_Param_Ratio
breast_cancer,feedforward,classical,2,0.9818990230560303,0.9818990230560303,129,2242,2.2839529514312744,981.6314292266906,0.00043795674534167275
breast_cancer,feedforward,classical,4,0.9818990230560303,0.9818990230560303,129,10818,2.6364176273345947,4103.29527759111,9.076530070771216e-05
breast_cancer,feedforward,classical,6,0.9925373196601868,0.9925373196601868,129,19394,2.5956239700317383,7471.806480413593,5.117754561514833e-05
breast_cancer,feedforward,genetic,2,0.9382343292236328,0.9563353061676025,129,3014,2.8154821395874023,1070.5093659168763,0.0003112920800343838
breast_cancer,feedforward,genetic,4,0.841219425201416,0.8518577218055725,129,6246,3.2351419925689697,1930.6725993316172,0.00013468130406682933
breast_cancer,feedforward,genetic,6,0.5,0.5,129,7862,3.7725789546966553,2083.9855426252216,6.35970490969219e-05
breast_cancer,heads,classical,1,0.9201333522796631,0.9201333522796631,129,62,2.217834949493408,27.955191171535045,0.014840860520639727
breast_cancer,heads,classical,2,0.9712607264518738,0.9712607264518738,129,2114,2.3047471046447754,917.2372950332116,0.0004594421601002241
breast_cancer,heads,classical,3,0.9712607264518738,0.9712607264518738,129,3170,2.8900508880615234,1096.8664991661271,0.00030639139635705795
breast_cancer,heads,genetic,1,0.953159749507904,0.953159749507904,129,1736,2.5983431339263916,668.1180700628661,0.0005490551552464885
breast_cancer,heads,genetic,2,0.9382343292236328,0.9456970691680908,129,4022,2.783356189727783,1445.0180738072759,0.00023327556668911804
breast_cancer,heads,genetic,3,0.9382343292236328,0.9456970691680908,129,6032,3.109159231185913,1940.0743260419122,0.00015554282646280384
covtype,feedforward,classical,2,0.698630154132843,0.6991748809814453,129,4103,4.970854043960571,825.4114813499732,0.00017027300856272068
covtype,feedforward,classical,4,0.7625117301940918,0.7625117301940918,129,12679,5.169912099838257,2452.459491602704,6.013973737629875e-05
covtype,feedforward,classical,6,0.7706810832023621,0.7740751504898071,129,21255,5.203630208969116,4084.648437040033,3.625881360632143e-05
covtype,feedforward,genetic,2,0.6096343994140625,0.6096343994140625,129,3855,5.523424863815308,697.9365330475696,0.0001581412190438554
covtype,feedforward,genetic,4,0.40080779790878296,0.4041588008403778,129,7087,6.045683145523071,1172.2413876830512,5.655535458004557e-05
covtype,feedforward,genetic,6,0.4273776412010193,0.4273776412010193,129,8703,6.791506767272949,1281.453482743799,4.9106933379411616e-05
covtype,heads,classical,1,0.594060480594635,0.594060480594635,129,385,5.397349119186401,71.33131311284068,0.0015430142353107402
covtype,heads,classical,2,0.6644178032875061,0.6644178032875061,129,3975,5.534636974334717,718.2042866466069,0.00016714913290251726
covtype,heads,classical,3,0.6662703156471252,0.6662703156471252,129,5959,5.557250022888184,1072.2929462336879,0.00011180908133027777
covtype,heads,genetic,1,0.6713938117027283,0.6714185476303101,129,2587,5.69600510597229,454.17796365517955,0.00025952601921249644
covtype,heads,genetic,2,0.710754930973053,0.7124388813972473,129,5979,5.938531160354614,1006.81462108266,0.00011887521842666883
covtype,heads,genetic,3,0.7484163641929626,0.7503989338874817,129,8965,5.935277700424194,1510.4600749109468,8.348202612302986e-05
digits,feedforward,classical,2,0.9484980702400208,0.9484980702400208,129,4938,2.7547430992126465,1792.544648323601,0.0001920814237019078
digits,feedforward,classical,4,0.9722328186035156,0.9722328186035156,129,13514,2.7619659900665283,4892.891530382126,7.194263864166906e-05
digits,feedforward,classical,6,0.9754462242126465,0.9763026237487793,129,22090,2.800758123397827,7887.150202460478,4.415781911329319e-05
digits,feedforward,genetic,2,0.5299891233444214,0.5304467678070068,129,4210,3.0978310108184814,1359.0153837628707,0.00012588815281340174
digits,feedforward,genetic,4,0.29388004541397095,0.2942463457584381,129,7442,3.4091179370880127,2182.969359621738,3.9489390676427163e-05
digits,feedforward,genetic,6,0.1882352977991104,0.2015494406223297,129,9058,3.675572156906128,2464.378228293162,2.0781110377468582e-05
